SECTOR_ID,NCELL_ID,RATIO_ALL,RANK,COSITE
253901-2,15513-128,0.115961801,6,0
253901-2,253789-1,0.013642565,7,0
253901-2,47443-0,0,8,0
253901-2,253934-2,0,9,0
253901-2,15113-130,0,10,0
253901-2,124813-0,0,11,0
253901-2,253796-2,0,12,0
253901-2,15290-129,0,13,0
253901-2,259775-2,0,14,0
253901-2,47440-2,0,15,0
253902-0,253892-1,104.7297297,1,0
253902-0,253940-1,39.86486486,2,0
253902-0,253921-1,7.432432432,3,0
253903-0,259778-2,41.60532773,1,0
253903-0,253903-2,6.677181914,0,1
253903-0,15513-128,0.94637224,2,0
253903-0,5641-128,0.578338591,3,0
253903-0,253905-2,0,4,0
253903-0,5641-130,0,5,0
253903-1,5641-130,16.53194006,1,0
253903-1,253903-2,10.44952681,0,1
253903-1,253939-2,5.461356467,2,0
253903-1,15513-128,0.650630915,3,0
253903-1,5641-128,0.128154574,4,0
253903-1,124711-0,0,5,0
253903-2,259778-2,15.28593694,1,0
253903-2,253903-0,7.786836111,0,1
253903-2,15513-128,3.446828917,2,0
253903-2,253903-1,3.099148783,0,1
253903-2,5641-130,0.641409903,3,0
253903-2,253939-2,0.227790433,4,0
253903-2,5641-128,0.215801463,5,0
253903-2,7401-128,0,6,0
253903-2,259775-1,0,7,0
253903-2,253933-2,0,8,0
253904-0,253898-2,21.02373362,1,0
253904-0,253904-1,10.8454363,0,1
253904-0,253934-2,9.139213603,2,0
253904-0,253930-129,6.435234384,3,0
253904-0,253901-0,1.706222695,4,0
253904-0,253932-2,0.915102137,5,0
253904-0,7201-128,0.554965167,6,0
253904-0,259775-0,0.165308773,7,0
253904-0,253930-128,0.159404888,8,0
253904-0,7400-129,0.159404888,9,0
253904-0,15113-130,0.017711654,10,0
253904-0,253921-0,0.01180777,11,0
253904-0,253936-2,0,12,0
253904-0,253898-0,0,13,0
253904-0,253914-2,0,14,0
253904-0,253904-2,0,0,1
253904-1,259775-2,11.49879398,1,0
253904-1,253898-2,5.277385012,2,0
253904-1,253904-0,4.412376279,0,1
253904-1,253927-0,4.0921567,3,0
253904-1,253930-129,3.992348,4,0
253904-1,253927-1,3.564002329,5,0
253904-1,7201-128,2.449471846,6,0
253904-1,259775-0,1.368210929,7,0
253904-1,7400-129,0.515678283,8,0
253904-1,259775-1,0.4990435,9,0
253904-1,253901-1,0.370123929,10,0
253904-1,253904-2,0.245363054,0,1
253904-1,253927-2,0.203776096,11,0
253904-1,253931-0,0.012476087,12,0
253904-1,253921-0,0,13,0
253904-1,238397-0,0,14,0
253904-1,15290-129,0,15,0
253904-1,253911-2,0,16,0
253904-1,124818-0,0,17,0
253904-1,259595-2,0,18,0
253904-1,124711-2,0,19,0
253904-2,7400-128,22.20104334,1,0
253904-2,253930-130,14.15529695,2,0
253904-2,253901-1,13.30256822,3,0
253904-2,253930-129,7.995585875,4,0
253904-2,253904-1,1.855939005,0,1
253904-2,259775-2,0.943017657,5,0
253904-2,15113-130,0.050160514,6,0
253904-2,253904-0,0,0,1
253904-2,253921-2,0,7,0
253904-2,7400-129,0,8,0
253905-0,253901-2,13.77410468,1,0
253905-0,253893-2,8.034894399,2,0
253905-0,259778-0,0.091827365,3,0
253905-0,253901-1,0,4,0
253905-0,253905-1,0,0,1
253905-1,253893-2,66.24685139,1,0
253905-1,259778-1,12.80436608,2,0
253905-1,253901-2,9.403862301,3,0
253905-1,253905-0,6.087321579,0,1
253905-1,253939-0,4.70193115,4,0
253905-1,5641-129,3.442485306,5,0
253905-1,7400-130,3.316540722,6,0
253905-1,253916-2,2.518891688,7,0
253905-1,253894-2,1.385390428,8,0
253905-1,253893-0,0.335852225,9,0
253905-1,7400-128,0.083963056,10,0
253905-1,253905-2,0,0,1
253905-1,15513-128,0,11,0
253907-0,253899-2,24.95518107,1,0
253907-0,259772-0,23.87952671,2,0
253907-0,259772-1,14.32413051,3,0
253907-0,253923-2,12.85406956,4,0
253907-0,253899-0,12.62101112,5,0
253907-0,253935-2,9.967730369,6,0
253907-0,253926-0,1.595553962,7,0
253907-0,253907-1,1.219074937,0,1
253907-0,259772-2,1.201147365,8,0
253907-0,253891-2,0.089637863,9,0
253907-0,253935-1,0.017927573,10,0
253907-0,253891-0,0,11,0
253907-0,15294-128,0,12,0
253907-1,253926-0,30.39844143,1,0
253907-1,253900-0,12.17320261,2,0
253907-1,253926-2,5.115635998,3,0
253907-1,253907-2,5.008798391,0,1
253907-1,253926-1,2.212166918,4,0
253907-1,253923-2,1.627702363,5,0
253907-1,253913-1,1.552287582,6,0
253907-1,253907-0,0.634741076,0,1
253907-1,253917-0,0.597033685,7,0
253907-1,253929-1,0.56561086,8,0
253907-1,259772-1,0.534188034,9,0
253907-1,253899-2,0.358220211,10,0
253907-1,253917-2,0.144544997,11,0
253907-1,259772-2,0.094268477,12,0
253907-1,15117-130,0.031422826,13,0
253907-1,253935-2,0,14,0
253907-1,253912-2,0,15,0
253907-1,259782-2,0,16,0
253907-2,259772-2,41.61521943,1,0
253907-2,253907-1,6.130049658,0,1
253907-2,253933-2,4.079989263,2,0
