CITY,SCELL,NCELL,HOATT,HOSUCC,HOSUCCRATE
sanxia,15114-129,259782-2,8743,8734,0.999
sanxia,15114-129,253924-2,6074,6070,0.9993
sanxia,15114-129,259779-0,4353,4353,1
sanxia,15114-129,259779-2,3490,3481,0.9974
sanxia,15114-129,15114-128,1816,1814,0.9989
sanxia,15114-129,253923-1,781,781,1
sanxia,15114-129,253900-1,654,651,0.9954
sanxia,15114-129,259772-1,592,589,0.9949
sanxia,15114-129,15117-130,562,554,0.9858
sanxia,15114-129,253891-1,362,358,0.989
sanxia,15114-129,253924-1,162,162,1
sanxia,15114-129,253900-2,156,153,0.9808
sanxia,15114-129,253929-1,129,128,0.9922
sanxia,15114-129,259779-1,104,103,0.9904
sanxia,15114-129,253929-0,82,81,0.9878
sanxia,15114-129,253907-1,62,62,1
sanxia,15114-129,253926-1,53,52,0.9811
sanxia,15114-129,15116-130,29,29,1
sanxia,15114-129,253900-0,24,24,1
sanxia,15114-129,124924-0,20,20,1
sanxia,15114-129,274142-144,17,17,1
sanxia,15114-129,259782-1,9,9,1
sanxia,15114-129,253917-0,8,7,0.875
sanxia,15114-129,253918-2,5,5,1
sanxia,15114-129,253907-0,4,4,1
sanxia,15114-129,253923-0,2,2,1
sanxia,15114-129,253923-2,1,1,1
sanxia,15114-129,253913-1,1,1,1
sanxia,15114-129,253899-1,1,1,1
sanxia,15114-129,253899-2,1,1,1
sanxia,15114-130,15114-129,30135,30129,0.9998
sanxia,15114-130,15114-128,24333,24321,0.9995
sanxia,15114-130,253923-1,21065,21053,0.9994
sanxia,15114-130,259772-1,4813,4794,0.9961
sanxia,15114-130,253900-1,1871,1866,0.9973
sanxia,15114-130,259782-2,1833,1831,0.9989
sanxia,15114-130,253900-0,505,504,0.998
sanxia,15114-130,259779-2,432,432,1
sanxia,15114-130,253891-1,261,261,1
sanxia,15114-130,253899-1,111,111,1
sanxia,15114-130,253924-2,97,97,1
sanxia,15114-130,253923-2,66,65,0.9848
sanxia,15114-130,253926-1,43,43,1
sanxia,15114-130,253907-1,37,35,0.9459
sanxia,15114-130,253926-0,33,33,1
sanxia,15114-130,253935-1,33,32,0.9697
sanxia,15114-130,253900-2,25,25,1
sanxia,15114-130,253908-0,16,16,1
sanxia,15114-130,15116-130,10,10,1
sanxia,15114-130,253923-0,10,10,1
sanxia,15114-130,253929-0,7,6,0.8571
sanxia,15114-130,253908-1,4,4,1
sanxia,15114-130,253907-0,3,3,1
sanxia,15114-130,253891-2,3,3,1
sanxia,15114-130,253899-2,1,1,1
sanxia,15114-130,253910-2,1,1,1
sanxia,15115-128,253920-0,8638,8632,0.9993
sanxia,15115-128,124898-0,5394,5391,0.9994
sanxia,15115-128,253915-2,3584,3583,0.9997
sanxia,15115-128,15115-129,1854,1853,0.9995
sanxia,15115-128,15115-130,1588,1585,0.9981
sanxia,15115-128,253937-0,340,340,1
sanxia,15115-128,259782-1,56,54,0.9643
sanxia,15115-128,15116-129,21,21,1
sanxia,15115-128,124898-1,16,16,1
sanxia,15115-128,253920-1,16,16,1
sanxia,15115-128,253915-0,10,10,1
sanxia,15115-128,5660-128,3,3,1
sanxia,15115-128,259761-4,1,0,0
sanxia,15115-128,259682-2,1,1,1
sanxia,15115-128,253918-1,1,1,1
sanxia,15115-129,124898-0,10157,10128,0.9971
sanxia,15115-129,253915-2,9224,9223,0.9999
sanxia,15115-129,253937-1,3689,3666,0.9938
sanxia,15115-129,15115-128,2579,2579,1
sanxia,15115-129,253915-1,2314,2302,0.9948
sanxia,15115-129,124923-1,1302,1285,0.9869
sanxia,15115-129,259782-1,1093,1065,0.9744
sanxia,15115-129,253937-0,1085,1085,1
sanxia,15115-129,259682-2,981,973,0.9918
sanxia,15115-129,253915-0,954,954,1
sanxia,15115-129,5660-128,509,502,0.9862
sanxia,15115-129,15115-130,232,232,1
sanxia,15115-129,253937-2,112,112,1
sanxia,15115-129,253920-0,69,69,1
sanxia,15115-129,253920-1,57,57,1
sanxia,15115-129,253922-1,53,51,0.9623
sanxia,15115-129,15116-129,7,6,0.8571
sanxia,15115-129,5660-129,3,3,1
sanxia,15115-130,253920-1,10868,10862,0.9994
sanxia,15115-130,253937-0,8362,8361,0.9999
sanxia,15115-130,253920-0,6796,6795,0.9999
sanxia,15115-130,15115-128,3723,3721,0.9995
sanxia,15115-130,253922-1,2498,2492,0.9976
