S_SECTOR_ID,N_SECTOR_ID,S_EARFCN,N_EARFCN
124684-1,124684-2,38400,38400
124684-1,124688-1,38400,38400
124684-1,124697-0,38400,38400
124684-1,124697-1,38400,38400
124684-1,124915-0,38400,38400
124684-1,124915-1,38400,38400
124684-1,124915-2,38400,38400
124684-1,259594-0,38400,38400
124684-1,259594-1,38400,38400
124684-1,259594-2,38400,38400
124684-1,273934-128,38400,38400
124684-1,273934-129,38400,38400
124684-1,273934-130,38400,38400
124684-1,5882-144,38400,38950
124684-2,7198-128,38400,38400
124684-2,7199-128,38400,38400
124684-2,15484-128,38400,38400
124684-2,15484-129,38400,38400
124684-2,15484-130,38400,38400
124684-2,124684-0,38400,38400
124684-2,124684-1,38400,38400
124684-2,124688-1,38400,38400
124684-2,124688-2,38400,38400
124684-2,124697-0,38400,38400
124684-2,124713-0,38400,38400
124684-2,124915-0,38400,38400
124684-2,124915-1,38400,38400
124684-2,124915-2,38400,38400
124684-2,259658-0,38400,38400
124684-2,259658-1,38400,38400
124684-2,259658-2,38400,38400
124684-2,259712-1,38400,38400
124684-2,273934-128,38400,38400
124684-2,273934-130,38400,38400
124685-0,15290-128,38400,38400
124685-0,15291-128,38400,38400
124685-0,15291-129,38400,38400
124685-0,15291-130,38400,38400
124685-0,15483-128,38400,38400
124685-0,15483-129,38400,38400
124685-0,15483-130,38400,38400
124685-0,124685-1,38400,38400
124685-0,124685-2,38400,38400
124685-0,124687-1,38400,38400
124685-0,124711-0,38400,38400
124685-0,259658-0,38400,38400
124685-0,259658-2,38400,38400
124685-0,259712-0,38400,38400
124685-0,259712-2,38400,38400
124685-1,15290-128,38400,38400
124685-1,15291-129,38400,38400
124685-1,15291-130,38400,38400
124685-1,15483-129,38400,38400
124685-1,124685-0,38400,38400
124685-1,124685-2,38400,38400
124685-1,124687-1,38400,38400
124685-1,124711-0,38400,38400
124685-1,124711-1,38400,38400
124685-1,259658-0,38400,38400
124685-1,259658-1,38400,38400
124685-1,259658-2,38400,38400
124685-1,259712-0,38400,38400
124685-1,259712-1,38400,38400
124685-1,259712-2,38400,38400
124685-2,15290-128,38400,38400
124685-2,15290-129,38400,38400
124685-2,15291-130,38400,38400
124685-2,15328-130,38400,38400
124685-2,124685-0,38400,38400
124685-2,124685-1,38400,38400
124685-2,124687-1,38400,38400
124685-2,124687-2,38400,38400
124685-2,124711-0,38400,38400
124685-2,124711-2,38400,38400
124687-0,15291-128,38400,38400
124687-0,15291-130,38400,38400
124687-0,15295-128,38400,38400
124687-0,15295-129,38400,38400
124687-0,15295-130,38400,38400
124687-0,15297-128,38400,38400
124687-0,15297-129,38400,38400
124687-0,15297-130,38400,38400
124687-0,15328-128,38400,38400
124687-0,15328-130,38400,38400
124687-0,47440-0,38400,38400
124687-0,124683-0,38400,38400
124687-0,124683-1,38400,38400
124687-0,124687-1,38400,38400
124687-0,124687-2,38400,38400
124687-0,273928-128,38400,38400
124687-0,273928-129,38400,38400
124687-0,273928-130,38400,38400
124687-0,273933-128,38400,38400
124687-1,15290-128,38400,38400
124687-1,15291-128,38400,38400
124687-1,15291-129,38400,38400
124687-1,15291-130,38400,38400
124687-1,15295-130,38400,38400
124687-1,15328-128,38400,38400
124687-1,15328-130,38400,38400
124687-1,124683-1,38400,38400
124687-1,124685-0,38400,38400
124687-1,124685-1,38400,38400
124687-1,124685-2,38400,38400
124687-1,124687-0,38400,38400
124687-1,124687-2,38400,38400
124687-1,124711-0,38400,38400
124687-1,124711-1,38400,38400
124687-1,273928-128,38400,38400
124687-1,273928-129,38400,38400
124687-1,273933-128,38400,38400
124687-2,15290-128,38400,38400
124687-2,15290-129,38400,38400
124687-2,15291-130,38400,38400
124687-2,15295-129,38400,38400
124687-2,15295-130,38400,38400
124687-2,15297-128,38400,38400
124687-2,15297-129,38400,38400
124687-2,15328-128,38400,38400
124687-2,15328-130,38400,38400
124687-2,47440-0,38400,38400
124687-2,47440-1,38400,38400
124687-2,47440-2,38400,38400
124687-2,124683-0,38400,38400
124687-2,124683-1,38400,38400
124687-2,124683-2,38400,38400
124687-2,124685-2,38400,38400
124687-2,124687-0,38400,38400
124687-2,124687-1,38400,38400
124687-2,124711-0,38400,38400
124687-2,124711-2,38400,38400
124687-2,273928-128,38400,38400
124687-2,273928-129,38400,38400
124687-2,273928-130,38400,38400
124687-2,273933-128,38400,38400
124687-2,273933-129,38400,38400
124688-0,15291-129,38400,38400
124688-0,15299-128,38400,38400
124688-0,15299-129,38400,38400
124688-0,15334-128,38400,38400
124688-0,15334-129,38400,38400
124688-0,15334-130,38400,38400
124688-0,15483-128,38400,38400
124688-0,15483-129,38400,38400
124688-0,15484-128,38400,38400
124688-0,124684-0,38400,38400
124688-0,124686-0,38400,38400
124688-0,124686-1,38400,38400
124688-0,124686-2,38400,38400
124688-0,124688-1,38400,38400
124688-0,124688-2,38400,38400
124688-0,124915-0,38400,38400
124688-0,124915-2,38400,38400
124688-0,259658-0,38400,38400
124688-0,259658-1,38400,38400
124688-0,259712-0,38400,38400
124688-1,15299-128,38400,38400
124688-1,15334-130,38400,38400
124688-1,15483-129,38400,38400
124688-1,15484-128,38400,38400
124688-1,15485-130,38400,38400
124688-1,124684-0,38400,38400
124688-1,124684-1,38400,38400
124688-1,124684-2,38400,38400
124688-1,124686-1,38400,38400
124688-1,124686-2,38400,38400
124688-1,124688-0,38400,38400
124688-1,124688-2,38400,38400
124688-1,124915-0,38400,38400
124688-1,124915-2,38400,38400
124688-2,15291-129,38400,38400
124688-2,15334-129,38400,38400
124688-2,15334-130,38400,38400
124688-2,15483-128,38400,38400
124688-2,15483-129,38400,38400
124688-2,15483-130,38400,38400
124688-2,15484-128,38400,38400
124688-2,15484-130,38400,38400
124688-2,124684-0,38400,38400
124688-2,124684-2,38400,38400
124688-2,124686-2,38400,38400
124688-2,124688-0,38400,38400
124688-2,124688-1,38400,38400
124688-2,124915-2,38400,38400
124688-2,259658-0,38400,38400
124688-2,259658-1,38400,38400
124688-2,259658-2,38400,38400
124688-2,259712-0,38400,38400
124688-2,259712-1,38400,38400
124688-2,259712-2,38400,38400
124689-0,7197-128,38400,38400
124689-0,7197-129,38400,38400
124689-0,7197-130,38400,38400
124689-0,15486-129,38400,38400
124689-0,15486-130,38400,38400
124689-0,15487-128,38400,38400
124689-0,15487-129,38400,38400
124689-0,15487-130,38400,38400
124689-0,15517-128,38400,38400
124689-0,15592-128,38400,38400
124689-0,15592-129,38400,38400
124689-0,47469-0,38400,38400
124689-0,47469-1,38400,38400
124689-0,47470-0,38400,38400
124689-0,47470-1,38400,38400
124689-0,124689-1,38400,38400
124689-0,124689-2,38400,38400
124689-0,124689-3,38400,38400
124689-0,124691-1,38400,38400
124689-0,124691-2,38400,38400
124689-0,124697-0,38400,38400
124689-0,124697-1,38400,38400
124689-0,124697-2,38400,38400
124689-0,124893-2,38400,38400
124689-0,259584-3,38400,38400
124689-0,259594-1,38400,38400
124689-0,259594-2,38400,38400
124689-0,259627-0,38400,38400
124689-0,259627-1,38400,38400
124689-0,273937-129,38400,38400
124689-0,5882-144,38400,38950
124689-0,259627-3,38400,37900
124689-0,259627-4,38400,37900
124689-0,259627-5,38400,37900
124689-1,7197-129,38400,38400
124689-1,15487-128,38400,38400
124689-1,15487-129,38400,38400
124689-1,15487-130,38400,38400
124689-1,15592-128,38400,38400
124689-1,15592-129,38400,38400
124689-1,124689-0,38400,38400
124689-1,124689-2,38400,38400
124689-1,124689-3,38400,38400
124689-1,124691-1,38400,38400
124689-1,124697-1,38400,38400
124689-1,124697-2,38400,38400
124689-1,124893-0,38400,38400
124689-1,124893-2,38400,38400
124689-1,259584-3,38400,38400
124689-1,273937-128,38400,38400
124689-1,273937-129,38400,38400
124689-1,5882-144,38400,38950
124689-1,259627-3,38400,37900
124689-1,259627-4,38400,37900
124689-2,15487-129,38400,38400
124689-2,15487-130,38400,38400
124689-2,15517-128,38400,38400
124689-2,15517-129,38400,38400
124689-2,15592-128,38400,38400
124689-2,15592-129,38400,38400
