S_SECTOR_ID,N_SECTOR_ID
124681-0,273929-128
124681-0,259761-1
124681-0,253938-2
124681-0,259627-3
124681-0,15516-130
124681-0,259682-0
124681-0,124681-1
124681-0,47469-0
124681-0,124678-0
124681-0,47467-1
124681-0,259761-4
124681-1,273929-130
124681-1,47469-2
124681-1,259721-2
124681-1,15427-128
124681-1,253950-2
124681-1,15307-128
124681-1,259721-0
124681-1,124681-0
124681-1,124678-0
124681-1,15307-130
124681-1,273929-129
124681-1,15516-128
124681-1,15516-130
124681-1,124681-2
124681-1,253950-1
124681-1,259584-1
124681-1,259584-3
124681-1,124678-2
124681-1,15516-129
124681-1,273929-128
124681-2,259584-3
124681-2,259627-1
124681-2,259721-2
124681-2,253938-0
124681-2,253937-2
124681-2,253915-1
124681-2,5660-128
124681-2,259781-2
124681-2,47470-2
124681-2,273929-129
124681-2,273929-130
124681-2,15307-130
124681-2,15516-130
124681-2,259682-0
124681-2,124681-1
124681-2,124681-0
124681-2,15514-128
124681-2,124678-0
124681-2,47467-1
124681-2,259627-2
124681-2,259781-0
124681-2,253922-1
124681-2,253937-0
124681-2,5660-129
124681-2,253950-1
124681-2,124678-2
124681-2,253915-2
124681-2,124923-0
124681-2,259584-1
124681-2,15516-129
124681-2,47469-2
124681-2,15514-130
124681-2,253949-0
124681-2,259584-2
124681-2,15514-129
124681-2,253937-1
124681-2,47467-2
124681-2,253949-1
124681-2,253919-1
124681-2,15427-128
124681-2,253938-2
124681-2,259682-1
124681-2,273929-128
124681-2,253950-2
124681-2,253938-1
124681-2,259781-1
124681-2,124923-1
124681-2,15516-128
124681-2,5885-144
124681-2,259682-2
124681-2,259584-0
124681-2,259721-0
124681-2,15307-128
124681-2,259627-5
124681-2,253950-0
124681-2,259627-0
124681-2,253949-2
124683-0,15290-128
124683-0,7201-128
124683-0,124685-2
124683-0,5691-128
124683-0,124673-0
124683-0,253930-128
124683-0,259595-1
124683-0,124711-2
124683-0,124687-2
124683-0,124711-1
124683-0,124687-0
124683-0,124683-1
124683-0,124687-1
124683-0,124685-1
124683-0,124685-0
124683-0,15290-129
124683-0,253932-0
124683-0,259595-0
124683-1,124711-0
124683-1,124685-0
124683-1,124685-1
124683-1,15290-128
124683-1,124687-2
124683-1,124711-2
124683-1,7202-129
124683-1,124673-0
124683-1,124812-0
124683-1,7201-128
124683-1,253901-2
124683-1,253901-0
124683-1,124683-0
124683-1,124687-1
124683-1,259595-1
124683-1,47444-1
124683-1,259595-2
124683-1,253930-129
124683-1,124687-0
124683-1,15290-129
124683-1,253932-0
124683-1,259655-1
124683-1,124683-2
124683-1,253930-128
124683-1,124711-1
124683-1,124685-2
124683-1,5691-128
124683-1,7202-128
124683-1,124673-1
124683-1,253904-0
124683-1,259595-0
124683-1,253930-130
124683-1,253898-0
124683-1,259654-1
124683-2,15290-129
124683-2,124711-0
124683-2,259655-1
124683-2,259595-0
124683-2,124687-2
124683-2,124685-2
124683-2,124711-1
124683-2,124673-1
124683-2,253904-0
124683-2,7202-128
124683-2,5691-128
124683-2,259654-1
124683-2,124673-0
124683-2,253898-0
124683-2,253930-128
124683-2,124812-0
124683-2,7202-129
124683-2,253901-2
124683-2,259595-1
124683-2,15290-128
124683-2,259595-2
124683-2,7201-128
124683-2,253930-129
124683-2,253901-0
124683-2,47444-1
124683-2,124683-1
124683-2,253930-130
124684-0,253949-2
124684-0,47468-1
124684-0,15496-128
124684-0,259761-4
124684-0,253949-0
124684-0,259781-0
124684-0,259682-1
124684-0,124697-0
124684-0,124923-0
124684-0,124713-1
124684-0,15496-129
124684-0,124684-2
124684-0,47470-0
124684-0,47468-2
124684-0,124713-2
124684-0,15486-129
124684-0,7199-128
124684-0,47468-0
124684-0,15486-128
124684-0,259761-1
124684-0,259682-0
124684-0,259761-0
124684-0,259761-3
124684-0,47467-0
124684-0,15486-130
124684-2,47467-0
124684-2,124923-0
124684-2,124697-0
124684-2,259761-3
124684-2,47470-0
124684-2,253949-2
124684-2,124713-2
124684-2,47468-1
124684-2,15496-128
124684-2,124684-0
124684-2,259761-4
124684-2,15486-128
124684-2,259682-1
124684-2,47468-2
124684-2,124713-1
124684-2,7199-128
124684-2,15496-129
124684-2,15486-129
124684-2,15486-130
124684-2,259761-0
124684-2,47468-0
