起始时间,网元/基站名称,小区,小区名称,RRC连接建立完成次数 (无),RRC连接请求次数（包括重发） (无),RRC建立成功率qf (%),E-RAB建立成功总次数 (无),E-RAB建立尝试总次数 (无),E-RAB建立成功率2 (%),eNodeB触发的E-RAB异常释放总次数 (无),小区切换出E-RAB异常释放总次数 (无),E-RAB掉线率(新) (%),无线接通率ay (%),eNodeB发起的S1 RESET导致的UE Context释放次数 (无),UE Context异常释放次数 (无),UE Context建立成功总次数 (无),无线掉线率 (%),eNodeB内异频切换出成功次数 (无),eNodeB内异频切换出尝试次数 (无),eNodeB内同频切换出成功次数 (无),eNodeB内同频切换出尝试次数 (无),eNodeB间异频切换出成功次数 (无),eNodeB间异频切换出尝试次数 (无),eNodeB间同频切换出成功次数 (无),eNodeB间同频切换出尝试次数 (无),eNB内切换成功率 (%),eNB间切换成功率 (%),同频切换成功率zsp (%),异频切换成功率zsp (%),切换成功率 (%),小区PDCP层所接收到的上行数据的总吞吐量 (比特),小区PDCP层所发送的下行数据的总吞吐量 (比特),RRC重建请求次数 (无),RRC连接重建比率 (%),通过重建回源小区的eNodeB间同频切换出执行成功次数 (无),通过重建回源小区的eNodeB间异频切换出执行成功次数 (无),通过重建回源小区的eNodeB内同频切换出执行成功次数 (无),通过重建回源小区的eNodeB内异频切换出执行成功次数 (无),eNB内切换出成功次数 (次),eNB内切换出请求次数 (次)
07/18/2020 00:00:00,B马五一宾馆-HLHF,"eNodeB名称=B马五一宾馆-HLHF, 本地小区标识=1, 小区名称=B马五一宾馆-HLHF-2, eNodeB标识=253929, 小区双工模式=CELL_TDD",B马五一宾馆-HLHF-2,163276,163759,0.997,156182,156205,1,205,0,0.001,1,0,201,148038,0.001,0,0,10790,10803,467,499,21482,21514,0.997,0.995,0.997,0.894,0.996,14154647576,1.26763E+11,729,0.004,24,21,15,0,10775,10803
07/18/2020 00:00:00,B马五一宾馆-HLHF,"eNodeB名称=B马五一宾馆-HLHF, 本地小区标识=0, 小区名称=B马五一宾馆-HLHF-1, eNodeB标识=253929, 小区双工模式=CELL_TDD",B马五一宾馆-HLHF-1,42045,42105,0.999,38786,38788,1,66,0,0.002,1,0,67,37001,0.002,0,0,8608,8615,79,82,5124,5139,0.999,0.994,0.998,0.939,0.997,5606613296,39382061360,254,0.006,9,2,2,0,8606,8615
07/19/2020 00:00:00,B马五一宾馆-HLHF,"eNodeB名称=B马五一宾馆-HLHF, 本地小区标识=2, 小区名称=B马五一宾馆-HLHF-3, eNodeB标识=253929, 小区双工模式=CELL_TDD",B马五一宾馆-HLHF-3,68900,69040,0.998,66671,66674,1,49,0,0.001,1,0,47,62192,0.001,0,0,3362,3363,57,58,8367,8374,0.999,0.997,0.998,0.862,0.998,6468481664,60532774248,181,0.003,8,7,4,0,3358,3363
07/19/2020 00:00:00,B马五一宾馆-HLHF,"eNodeB名称=B马五一宾馆-HLHF, 本地小区标识=1, 小区名称=B马五一宾馆-HLHF-2, eNodeB标识=253929, 小区双工模式=CELL_TDD",B马五一宾馆-HLHF-2,158100,158429,0.998,152455,152474,1,97,0,0.001,1,0,92,146491,0.001,0,0,11683,11694,452,489,20840,20866,0.998,0.995,0.998,0.896,0.996,14949507200,1.22898E+11,753,0.005,24,14,8,0,11675,11694
07/19/2020 00:00:00,B马五一宾馆-HLHF,"eNodeB名称=B马五一宾馆-HLHF, 本地小区标识=0, 小区名称=B马五一宾馆-HLHF-1, eNodeB标识=253929, 小区双工模式=CELL_TDD",B马五一宾馆-HLHF-1,53764,53801,0.999,50099,50106,1,49,0,0.001,1,0,48,48269,0.001,0,0,10445,10453,77,88,6852,6879,0.998,0.992,0.996,0.841,0.995,6854111136,44339050144,403,0.007,17,3,16,0,10429,10453
07/17/2020 00:00:00,B马西工区-HLHF,"eNodeB名称=B马西工区-HLHF, 本地小区标识=0, 小区名称=B马西工区-HLHF-1, eNodeB标识=253931, 小区双工模式=CELL_TDD",B马西工区-HLHF-1,38219,38317,0.997,36309,36317,1,16,0,0,0.999,0,16,34455,0,0,0,7043,7043,90,90,13749,13756,1,0.999,1,1,1,2625654944,23133574504,89,0.002,0,0,0,0,7043,7043
07/17/2020 00:00:00,B马西工区-HLHF,"eNodeB名称=B马西工区-HLHF, 本地小区标识=1, 小区名称=B马西工区-HLHF-2, eNodeB标识=253931, 小区双工模式=CELL_TDD",B马西工区-HLHF-2,107778,107987,0.998,98222,98238,1,100,0,0.001,1,0,100,92535,0.001,0,0,7090,7090,0,0,15507,15533,1,0.997,0.998,0,0.998,7298760784,70307087952,323,0.003,20,0,1,0,7089,7090
07/17/2020 00:00:00,B马西工区-HLHF,"eNodeB名称=B马西工区-HLHF, 本地小区标识=2, 小区名称=B马西工区-HLHF-3, eNodeB标识=253931, 小区双工模式=CELL_TDD",B马西工区-HLHF-3,44490,44556,0.999,42258,42261,1,25,0,0.001,1,0,23,39053,0.001,0,0,1978,1980,0,0,4921,4930,0.997,0.998,0.998,0,0.998,3266791568,40620553816,116,0.003,1,0,3,0,1975,1980
07/18/2020 00:00:00,B马西工区-HLHF,"eNodeB名称=B马西工区-HLHF, 本地小区标识=0, 小区名称=B马西工区-HLHF-1, eNodeB标识=253931, 小区双工模式=CELL_TDD",B马西工区-HLHF-1,39429,39468,0.999,36974,36977,1,33,0,0.001,1,0,30,35339,0.001,0,0,6112,6112,72,75,8221,8233,1,0.996,0.998,0.96,0.998,2520610160,21158872536,132,0.003,15,0,0,0,6112,6112
07/18/2020 00:00:00,B马西工区-HLHF,"eNodeB名称=B马西工区-HLHF, 本地小区标识=1, 小区名称=B马西工区-HLHF-2, eNodeB标识=253931, 小区双工模式=CELL_TDD",B马西工区-HLHF-2,95023,95294,0.997,84314,84330,1,90,0,0.001,1,0,91,80861,0.001,0,0,7459,7461,0,0,12474,12495,0.999,0.994,0.996,0,0.996,5932763440,58610128064,299,0.003,55,0,2,0,7457,7461
